UserID,Gender,Age,Occupation,Zipcode
1,1,23,10,48067
2,0,56,16,70072
3,0,25,15,55117
4,0,45,7,2460
5,0,25,20,55455
6,1,50,9,55117
7,0,35,1,6810
8,0,25,12,11413
9,0,25,17,61614
10,1,35,1,95370
11,1,25,1,4093
12,0,25,12,32793
13,0,45,1,93304
14,0,35,0,60126
15,0,25,7,22903
16,1,35,0,20670
17,0,50,1,95350
18,1,18,3,95825
19,0,1,10,48073
20,0,25,14,55113
21,0,18,16,99353
22,0,18,15,53706
23,0,35,0,90049
24,1,25,7,10023
25,0,18,4,1609
26,0,25,7,23112
27,0,25,11,19130
28,1,25,1,14607
29,0,35,7,33407
30,1,35,7,19143
31,0,56,7,6840
32,1,25,0,19355
33,0,45,3,55421
34,1,18,0,2135
35,0,45,1,2482
36,0,25,3,94123
37,1,25,9,66212
38,1,18,4,2215
39,0,18,4,61820
40,0,45,0,10543
41,1,18,4,15116
42,0,25,8,24502
43,0,25,12,60614
44,0,45,17,98052
45,1,45,16,94110
46,0,18,19,75602
47,0,18,4,94305
48,0,25,4,92107
49,0,18,12,77084
50,1,25,2,98133
51,1,1,10,10562
52,0,18,4,72212
53,0,25,0,96931
54,0,50,1,56723
55,1,35,12,55303
56,0,35,20,60440
57,0,18,19,30350
58,0,25,2,30303
59,1,50,1,55413
60,0,50,1,72118
61,0,25,17,95122
62,1,35,3,98105
63,0,18,4,54902
64,0,18,1,53706
65,0,35,12,55803
66,0,25,18,57706
67,1,50,5,60181
68,0,18,4,53706
69,1,25,1,2143
70,0,18,4,53703
71,0,25,14,95008
72,1,45,0,55122
73,0,18,4,53706
74,0,35,14,94530
75,1,1,10,1748
76,0,35,7,55413
77,0,18,4,15321
78,1,45,1,98029
79,1,45,0,98103
80,0,56,1,49327
81,1,25,0,60640
82,0,25,17,48380
83,1,25,2,94609
84,0,18,4,53140
85,0,18,4,94945
86,1,1,10,54467
87,0,25,14,48360
88,1,45,1,2476
89,1,56,9,85749
90,0,56,13,85749
91,0,35,7,7650
92,1,18,4,44243
93,0,25,17,95825
94,0,25,17,28601
95,0,45,0,98201
96,1,25,16,78028
97,1,35,3,66210
98,1,35,7,33547
99,1,1,10,19390
100,0,35,17,95401
101,1,18,3,33314
102,0,35,19,20871
103,0,45,7,92104
104,0,25,12,926
105,0,45,12,90277
106,1,35,11,79101
107,0,45,18,63129
108,0,25,12,30316
109,0,45,15,92028
110,0,25,2,90803
111,0,35,15,55416
112,0,25,16,97209
113,0,18,12,37032
114,1,25,2,83712
115,0,25,17,28083
116,0,25,17,55744
117,0,25,17,33314
118,0,35,17,22315
119,1,1,10,77515
120,0,25,11,27106
121,0,35,7,75229
122,1,18,4,94305
123,0,35,9,67208
124,0,56,7,91356
125,0,45,14,1701
126,0,18,9,98117
127,1,45,3,1770
128,0,56,6,37922
129,0,25,11,20164
130,0,35,17,50021
131,0,18,4,6520
132,0,25,17,99709
133,1,25,0,55071
134,0,25,0,66212
135,0,18,4,20006
136,0,18,2,21202
137,1,45,6,78758
138,0,18,20,22203
139,1,25,20,45409
140,1,35,1,55107
141,0,35,13,62035
142,0,25,7,10011
143,0,18,3,64043
144,0,25,17,29401
145,0,18,4,19081
146,1,35,20,10954
147,0,18,4,91360
148,0,50,17,57747
149,0,25,1,29205
150,0,35,7,98144
151,1,25,20,85013
152,0,18,4,48104
153,0,1,10,51537
154,0,50,20,94530
155,0,35,12,7470
156,1,45,7,14519
157,0,35,16,12866
158,0,56,7,28754
159,1,45,0,37922
160,0,35,7,13021
161,0,45,16,98107-2117
162,1,18,4,93117
163,0,18,4,85013
164,1,56,13,94566
165,0,18,16,98502
166,0,18,4,92802
167,1,25,11,10022
168,1,50,0,46970
169,0,25,7,55439
170,0,25,11,7002
171,1,50,17,55441
172,0,25,3,7661
173,0,25,0,45237
174,0,25,16,21203
175,1,25,2,95123
176,1,18,3,55016
177,0,50,1,54016
178,0,56,17,53705
179,0,25,0,2135
180,0,45,12,1603
181,0,18,17,33186
182,0,18,4,3052
183,1,45,1,55407
184,1,25,0,19001
185,0,45,0,14468
186,0,18,5,91767
187,1,45,1,94061
188,0,56,16,79930
189,0,18,0,60076
190,0,25,17,55125
191,0,18,4,4915
192,0,18,1,10977
193,1,45,15,44106
194,1,1,10,29146
195,0,25,12,10458
196,1,35,9,94587
197,0,18,14,10023
198,0,25,12,55108
199,0,18,4,83706
200,1,18,4,84321
201,1,35,2,55117
202,0,18,4,53706
203,1,18,4,53715
204,0,25,7,92123
205,0,35,12,97333
206,0,25,17,20194
207,0,25,12,94115
208,0,35,17,55432
209,0,35,1,90048
210,1,1,10,25801
211,0,45,17,90620
212,0,25,16,53714
213,1,18,4,1609
214,0,18,20,80218
215,0,35,14,92075
216,0,45,13,52761
217,0,18,4,22903
218,0,35,14,95822
219,1,25,4,55113
220,0,25,12,22903
221,1,25,0,94063
222,0,25,1,55116
223,0,25,17,28262
224,1,18,4,14850
225,0,25,7,11215
226,0,35,1,94518
227,0,35,20,90291
228,0,25,15,55455
229,0,18,10,4576
230,0,45,1,43210
231,0,25,3,55455
232,0,25,20,55408
233,1,45,20,37919-4204
234,0,35,7,39652
235,0,25,0,98153
236,0,25,5,55126
237,0,25,6,46835
238,1,50,7,90291
239,0,18,19,94618
240,0,50,17,55113
241,0,35,20,55121
242,1,18,4,53706
243,0,25,16,11576
244,0,50,7,19072
245,0,35,16,66046
246,1,18,4,60625
247,0,25,17,94404
248,0,18,17,72703
249,1,18,14,48126
250,0,35,16,11229
251,0,56,17,55105
252,0,25,12,94112
253,1,25,11,97370
254,0,35,17,49015
255,0,35,0,85310
256,0,45,16,55076
257,0,18,18,55113
258,0,25,7,55436
259,0,25,1,60615
260,0,18,19,98126
261,0,25,20,75801
262,1,25,1,68503
263,1,25,7,22304
264,0,35,0,20755
265,1,35,7,55116
266,0,35,11,75229
267,0,45,12,55001
268,1,18,12,29708
269,0,25,2,55408
270,0,50,14,55414
271,0,18,4,48202
272,0,18,0,80302
273,0,18,4,55427
274,0,18,4,55455
275,0,25,0,48162
276,0,45,16,1982
277,1,35,1,98126
278,0,45,18,60482
279,0,25,14,91214
